Image,id,Name,price,Sale
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/06/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_06,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/46/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_46,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/47/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_47,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/01/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_01,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/02/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_02,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/03/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_03,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/06/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_06,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/46/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_46,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/47/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_47,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/01/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_01,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/02/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_02,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/03/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_03,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/06/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_06,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/46/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_46,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/47/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_47,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/01/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_01,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/02/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_02,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/03/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_03,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/06/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_06,Essentials Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/586449/46/mod01/fnd/PNA/fmt/png/Essentials-Men's-Logo-Tee",586449_46,Essentials Men's Logo Tee,25,9.99
